"filename", "language", "Markdown", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "XML", "Database", "Python", "comment", "blank", "total"
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\api\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1164, 111, 232, 1507
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\api\package-lock.json", "JSON", 0, 0, 0, 0, 7555, 0, 0, 0, 0, 0, 1, 7556
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\api\package.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\api\test.db", "Database", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 1, 97
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\__tests__\Login.test.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 0, 2, 24, 140
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\__tests__\Register.test.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 0, 0, 0, 4, 15, 122
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\__tests__\index.test.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 12, 66
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\(tabs)\Lists.tsx", "TypeScript JSX", 0, 248, 0, 0, 0, 0, 0, 0, 0, 10, 32, 290
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\(tabs)\Stores.tsx", "TypeScript JSX", 0, 184, 0, 0, 0, 0, 0, 0, 0, 17, 23, 224
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 54, 9, 100
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 312, 0, 0, 0, 0, 0, 0, 0, 21, 46, 379
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\+html.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 10, 5, 39
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\+not-found.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\Login.tsx", "TypeScript JSX", 0, 217, 0, 0, 0, 0, 0, 0, 0, 2, 29, 248
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\Register.tsx", "TypeScript JSX", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 13, 214
"c:\Users\gabe\Documents\School\sem6\cap\repo\capstone-project-gabrielupcott\grocery-app\app\Verify.tsx", "TypeScript JSX", 0, 283, 0, 0, 0, 0, 0, 0, 0, 10, 26, 319
